InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536402,22195,LARGE HEART FLOWERS HOOK,12,2026-03-01 09:04:00,1.25,17850,United Kingdom
536403,22194,PINK HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536404,22193,RED HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536405,22192,BLUE HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536406,22191,WHITE HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536407,22190,GREEN HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536408,22189,YELLOW HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536409,22188,ORANGE HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536410,22187,PURPLE HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536411,22186,RED HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536412,22185,BLUE HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
536413,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-03-01 08:26:00,2.55,17850,United Kingdom
536414,84406B,CREAM CUPID HEARTS COAT HANGER,-8,2026-03-02 10:15:00,2.75,17850,United Kingdom
536415,22752,SET 7 BABUSHKA NESTING BOXES,-2,2026-03-03 14:20:00,7.65,12583,France
